"Name","Codigo","Tipo","Formacao","Modalidade","Coordenador","Descricao","PublicoAlvo","AreaAtuacao","Duracao",""
"Arquitetura e urbanismo","C02218","Graduacao","Bacharelado","Presencial","Julia Costa","O curso visa qualificar profissionais comprometidos com às necessidades da comunidade local e regional, com à organização e à construção do espaço interior e exterior, abrangendo o urbanismo, bem como a conservação e a valorização do patrimônio construído","Pessoas interesadas em fazer uma graduação.","Em projetos de arquitetura, urbanismo e paisagismo; especificações; supervisão, orientação técnica; planejamento; direção ou execução de obras.","10",""
"Ciência da computação","C02219","Graduacao","Bacharelado","SemiPresencial","Amanda Muniz","O curso de ciência da computação, apresenta uma sólida formação conceitual, teórica e prática em diversas áreas da computação, voltada para o desenvolvimento de novas ferramentas, transferência de tecnologia e solução.","Pessoas interesadas em fazer uma graduação.","Na área de tecnologia de informação como desenvolvedor de soluções computacionais para as mais diversas áreas de conhecimento, bem como na proposição de novas metodologias, soluções e ferramentas ligadas à área da ciência da computação.","8",""
"Gestão de projetos","C02220","PosGraduacao","MBA","Presencial","Marco Silva","O curso visa capacitar profissionais em gestão de empresas e do ambiente de planejamento em ferramentas e projetos, buscando melhor discutir e planificar os projetos a serem desenvolvidos em empresas e organizações.","Profissionais formados em engenharias, administração de empresas, marketing, publicidade e propaganda, cursos tecnológicos de áreas de gestão de empresa.","Gestão de empresas e projetos.","2",""
"Ciências biológicas","C02221","Graduacao","Licenciatura","Online","Andrea Lima","A biologia é a ciência que estuda os seres vivos, a relação entre eles e o meio ambiente, além dos processos e mecanismos que regulam a vida.","Pessoas interesadas em fazer uma Licenciatura plena.","O biólogo pode atuar em instituições de ensino públicas e privadas (nos níveis fundamental e médio exclusivo para licenciados).","8",""
"Comunicação e marketing","C02222","PosGraduacao","MBA","Online","Victor de Oliveira","O curso visa capacitar profissionais para atuar com excelência na gestão e no planejamento estratégico de marketing, além de aprimorar a formação profissional, com a utilização de mídias digitais e metodologias voltadas para a inovação.","Profissionais da área de comunicação e administração com objetivo de atuar no planejamento estratégico de comunicação e marketing e ocupar cargos de gestão. ","Área de comunicação e marketing.","2",""
"Psicologia hospitalar e da saúde","C02223","PosGraduacao","Mestrado","Presencial","Natália Mendes","O curso proporcionar a formação de profissionais psicólogos com a experiência da prática no cenário hospitalar e da saúde, alinhando teoria e prática.","Graduados em Psicologia.","Psicólogia hospitalar.","4",""
"Gestão de recursos humanos","C02224","Graduacao","Tecnologo","Online","Paula Malagolli","O curso visa qualificar profissional capaz de implantar processos, metodologias e ferramentas de gestão de recursos humanos, que incorporem os requisitos empresariais contemporâneos, além de promover o pensamento crítico e reconhecer cenários.","Pessoas interesadas em fazer um Tecnólogo.","O profissional de gestão de recursos humanos pode atuar tanto em empresas públicas quanto privadas, organizações de todas as áreas, instituições de todos os setores de atividade.","4",""
"Introdução à neuropsicopedagogia clínica","C02225","ExtensaoLivre","CursoLivre","SemiPresencial","Luana Brito","O curso visa compreender as bases teóricas da neuropsicopedagogia clínica, natureza e contexto de atuação.","Estudantes de psicologia e psicopedagogia.","Psicopedagogos e psicólogos com interesse em aperfeiçoar seus conhecimentos na área.","",""
"Transtornos emocionais e comportamentais da infância e adolescência","C02226","ExtensaoLivre","CursoLivre","Online","Joana Pereira","O curso visa favorecer a reflexão e a construção de conhecimentos acerca dos principais transtornos emocionais e comportamentais da infância e adolescência possibilitando a integração de novos conhecimentos e condutas profissionais.","Estudantes de graduação e profissionais da área de saúde e educação","Área da saúde e educação.","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
