"Name da Versão","Name do Modelo","Motor","Cambio","Portas","Combustível"
"Comfort plus","HB20S","1.0 12V FLEX","Manual","4","Gasolina;Alcool"
"LTZ","Prisma","1.4 8V FLEX MPFI ","Automatico","4","Gasolina;Alcool"
"ZEN X-TRONIC","Logan","1.6 16V SCE Flex","Manual","4","Gasolina;Alcool"
"MSI","Gol","1.6 Flex","Automatico","4","Gasolina;Alcool"
"LT","Onix","1.4 8v MPFI ","Automatico","4","Gasolina;Alcool"
"LS","Celta","1.0 8V MPFI ","Manual","4","Gasolina;Alcool"
"S-tronic","TTS","2.0","Automatico","2","Gasolina"
"Quattro ","R8","4.2 8V ","Automatico","2","Gasolina"
"SI","Civic","2.4 16V SI","Manual","2","Gasolina;Alcool"
"GL","Ix35","2.0 16V MPFI","Automatico","4","Gasolina;Alcool"
"LOOK","Chery tiggo 2","1.5 16V MPFI","Automatico","4","Gasolina;Alcool"
"GLS","Veracruz","3.8 6V","Automatico","4","Gasolina"
"L3H2","Master","2.5 16V ","Manual","3","Diesel"
"Maxicargo","Ducato","2.3 MULTIJET ","Manual","4","Diesel"
"Longo","Splinter","2.2 CDI","Manual","3","Diesel"
"G.III","Parati","1.8 8V Mi","Manual","4","Gasolina"
"Exclusiv","Quantum","2.0 8V Mi ","Manual","4","Gasolina"
"","","","","",""
"","","","","",""
