"Id","Success","Created","Error"
"","true","false",""
"a0BDn000001Hq24MAC","true","false",""
"","true","false",""
"","false","false","DUPLICATE_VALUE:Duplicate external id specified: Tênis:Name --"
"","false","false","DUPLICATE_VALUE:Duplicate external id specified: Tênis:Name --"
"a0BDn000001Hq27MAC","true","false",""
"","true","false",""
"a0BDn000001Hq28MAC","true","false",""
"","true","false",""
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
"","false","false","MISSING_ARGUMENT:Name not specified:--"
