"Id","Success","Created","Error"
"a0BDn000001Hq2IMAS","true","true",""
"a0BDn000001Hq2JMAS","true","true",""
"a0BDn000001Hq2KMAS","true","true",""
"a0BDn000001Hq2LMAS","true","true",""
"a0BDn000001Hq2MMAS","true","true",""
"a0BDn000001Hq2NMAS","true","true",""
"a0BDn000001Hq2OMAS","true","true",""
"a0BDn000001Hq2PMAS","true","true",""
"a0BDn000001Hq2QMAS","true","true",""
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
