"Id","Success","Created","Error"
"a0DDn000003RYYBMA4","true","true",""
"a0DDn000003RYYCMA4","true","true",""
"a0DDn000003RYYDMA4","true","true",""
"a0DDn000003RYYEMA4","true","true",""
"a0DDn000003RYYFMA4","true","true",""
"a0DDn000003RYYGMA4","true","true",""
"a0DDn000003RYYHMA4","true","true",""
"a0DDn000003RYYIMA4","true","true",""
"a0DDn000003RYYJMA4","true","true",""
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
"","false","false","FIELD_CUSTOM_VALIDATION_EXCEPTION:'TIPO&quot; EM BRANCO:--"
