"Id","Success","Created","Error"
"","false","false","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status de venda: valor incorreto para campo de lista de opções restrita: Disponivel:StatusVenda__c --"
"a0BDn000001Hq24MAC","true","true",""
"","false","false","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status de venda: valor incorreto para campo de lista de opções restrita: Pagamento:StatusVenda__c --"
"a0BDn000001Hq25MAC","true","true",""
"a0BDn000001Hq26MAC","true","true",""
"a0BDn000001Hq27MAC","true","true",""
"","false","false","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status de venda: valor incorreto para campo de lista de opções restrita: Disponivel:StatusVenda__c --"
"a0BDn000001Hq28MAC","true","true",""
"","false","false","INVALID_OR_NULL_FOR_RESTRICTED_PICKLIST:Status de venda: valor incorreto para campo de lista de opções restrita: Disponivel:StatusVenda__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
"","false","false","REQUIRED_FIELD_MISSING:Campos obrigatórios ausentes: [Produto__c]:Produto__c --"
